[2022-12-19 14:53:18,971] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-12-19 14:53:19,046] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-12-19 14:53:19,739] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-12-19 14:53:19,740] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-12-19 14:53:19,744] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-12-19 14:53:19,744] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2022-12-19 14:53:25,566] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-12-19 14:53:25,644] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-12-19 14:53:26,320] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-12-19 14:53:26,321] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-12-19 14:53:26,325] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-12-19 14:53:26,325] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2022-12-19 14:53:31,188] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-12-19 14:53:31,263] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-12-19 14:53:31,917] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-12-19 14:53:31,918] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-12-19 14:53:31,920] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-12-19 14:53:31,920] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2022-12-19 14:53:43,832] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-12-19 14:53:43,913] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-12-19 14:53:44,666] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-12-19 14:53:44,667] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-12-19 14:53:44,670] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-12-19 14:53:44,670] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2022-12-19 14:55:34,072] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-12-19 14:55:34,152] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-12-19 14:55:34,876] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-12-19 14:55:34,877] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-12-19 14:55:34,880] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-12-19 14:55:34,880] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2022-12-19 14:56:31,341] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-12-19 14:56:31,424] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-12-19 14:56:32,057] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-12-19 14:56:32,058] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-12-19 14:56:32,060] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-12-19 14:56:32,060] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
